 ,Player,Id,Pos,Age,Tm,G,MP,PER?,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,COMB
94,Amir Johnson,johnsam01,C,31,PHI,8,93,18.3,0.7,0.08,0.52,8.6,25.1,16.9,18.2,1,2.5,22.7,17.5,0.2,0.1,0.3,0.167,-0.2,1.6,1.4,0.1,4.42
95,Thomas Bryant,bryanth01,C,21,WAS,2,20,18.3,0.458,0.333,0.417,20.4,15.6,18,8.3,0,0,6.6,31.7,0,0,0,0.025,-0.2,-6.3,-6.5,0,-1.95
96,Hassan Whiteside,whiteha01,C,29,MIA,7,207,18.3,0.519,0.042,0.535,12.9,41.3,27.1,0,0.7,8.3,14.6,20,0,0.5,0.5,0.108,-7.5,0,-7.5,-0.3,-0.25
97,Tyreke Evans,evansty01,PG,29,IND,6,121,18.2,0.537,0.328,0.172,1.9,12.2,7.2,21.7,2.9,2.9,11.4,25.8,0.1,0.2,0.3,0.122,1.3,1.7,3,0.2,5.9
98,Marvin Bagley,baglema01,PF,19,SAC,8,186,18.2,0.577,0.123,0.397,12.6,18.5,15.6,7.3,1.7,4.6,18.9,23.5,0.1,0.3,0.3,0.09,-0.5,1.1,0.6,0.1,4.18
99,Kelly Olynyk,olynyke01,PF,27,MIA,7,143,18.1,0.636,0.587,0.37,5,10.1,7.6,17.8,1.7,1.7,11.6,17.1,0.4,0.1,0.6,0.185,4.2,1.2,5.4,0.3,10.62
100,Bradley Beal,bealbr01,SG,25,WAS,7,233,18.1,0.563,0.469,0.219,0.9,12.5,6.6,20.2,1.4,2.1,9.1,27.6,0.2,0.1,0.3,0.061,3.1,-1.7,1.4,0.2,5.42
101,Alfonzo McKinnie,mckinal01,SF,26,GSW,8,95,18.1,0.621,0.389,0.167,12.7,21.5,17.5,1.4,1,2,4.9,18.1,0.2,0.1,0.3,0.177,1.9,-3.9,-2,0,2.4
102,Omri Casspi,casspom01,SF,30,MEM,5,73,17.8,0.615,0.318,0.5,3,18.6,10.7,16.4,2,0,6.9,17.7,0.1,0.1,0.3,0.185,0.9,0.6,1.5,0.1,4.45
103,Tony Parker,parketo01,PG,36,CHO,7,121,17.8,0.519,0.088,0.263,0,9.1,4.4,46.1,0.4,0,12.4,25.7,0.2,0,0.3,0.109,0.5,-5.1,-4.6,-0.1,0.62
104,Caris LeVert,leverca01,SF,24,BRK,7,217,17.6,0.57,0.298,0.26,3.2,11.7,7.7,25.1,1.4,0.7,14.7,27.2,0.3,0.1,0.4,0.079,0.8,-0.8,0,0.1,5
105,Mike Muscala,muscami01,C,27,PHI,5,87,17.6,0.745,0.75,0.333,6.9,17.9,12.4,6.7,0,3.6,12.7,14.8,0.2,0.1,0.4,0.195,2.6,-0.7,1.9,0.1,5.57
106,Grayson Allen,allengr01,SG,23,UTA,4,33,17.6,0.758,0.455,0.727,0,6.5,3.4,0,0,0,12.1,21.5,0.1,0,0.1,0.207,1.3,-4.2,-2.9,0,0.13
107,Rajon Rondo,rondora01,PG,32,LAL,4,122,17.6,0.656,0.263,0.053,3.4,14.4,8.9,34.6,1.1,0,22.1,16.5,0.3,0,0.3,0.13,1.9,-2.7,-0.8,0,2.76
108,Lou Williams,willilo02,SG,32,LAC,7,169,17.6,0.577,0.337,0.407,1.3,7.9,4.9,19.6,1.1,0.4,15.1,29.7,0.2,0.2,0.3,0.096,1.8,-2.8,-1,0,2.7
109,John Henson,hensojo01,C,28,MIL,7,111,17.5,0.506,0.342,0.211,12.8,29.7,22.3,7,2.5,6.2,16.2,18.2,0,0.4,0.4,0.182,-2.6,6.9,4.3,0.2,7.29
110,Mason Plumlee,plumlma01,C,28,DEN,6,97,17.5,0.609,0.036,0.393,15.3,14.2,14.8,12.1,3.9,2.7,25.1,18.7,0,0.2,0.3,0.134,-0.3,5.7,5.4,0.2,6.62
111,Ben Simmons,simmobe01,PG,22,PHI,7,215,17.4,0.501,0,0.45,9.7,23.5,16.7,39.4,1.5,1.8,21.3,23.2,0.1,0.3,0.4,0.096,-0.7,2.8,2.1,0.2,6.63
112,Frank Mason,masonfr01,PG,24,SAC,7,113,17.4,0.54,0.319,0.234,0,9.9,5,30.4,2,0,10.4,21.2,0.2,0.1,0.3,0.124,1.7,-2.8,-1.1,0,2.67
