Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
13,Al-Farouq Aminu,PF,28,POR,52,1538,13.3,0.571,0.509,0.304,5.7,22.7,14.4,5.5,1.5,1.1,8.7,13,2.2,1.9,4.1,0.128,0.3,1,1.3,1.3
14,Justin Anderson,SF,25,ATL,26,226,9.5,0.478,0.487,0.263,5.1,14.5,9.7,6.8,2.2,2.6,13.3,17.5,-0.1,0.2,0.1,0.012,-3.9,-0.5,-4.4,-0.1
15,Kyle Anderson,SF,25,MEM,43,1281,13,0.569,0.123,0.232,4.2,18.7,11.3,15.4,2.1,2.8,16,12.9,0.9,1.9,2.8,0.105,-2.1,3.5,1.4,1.1
16,Ryan Anderson,PF,30,PHO,15,278,4.7,0.423,0.567,0.233,5.6,12.7,9.1,8.1,0.5,0.3,15.4,12.2,-0.2,0,-0.2,-0.037,-4.2,-2,-6.2,-0.3
17,Ike Anigbogu,C,20,IND,3,6,-5.9,0,0,0,19,36.3,27.8,19.3,0,14.9,25,29,-0.1,0,-0.1,-0.471,-22.3,8.6,-13.8,0
18,Giannis Antetokounmpo,PF,24,MIL,47,1558,29.3,0.628,0.143,0.531,7.7,30.2,19.6,29.5,2.1,3.7,15.5,31.6,5.1,3.8,8.9,0.274,4.6,5.2,9.9,4.7
19,Carmelo Anthony,PF,34,HOU,10,294,11.2,0.513,0.529,0.182,3.3,17.9,10.3,2.7,0.7,2,5.8,20.5,0.1,0.1,0.2,0.038,-2.9,-3.5,-6.4,-0.3
20,OG Anunoby,SF,21,TOR,42,843,9.6,0.519,0.509,0.139,4.2,11.3,7.8,4.7,1.5,1,8.5,16,0.2,0.9,1,0.059,-1.2,-0.5,-1.7,0.1
21,Ryan Arcidiacono,PG,24,CHI,51,1287,10.5,0.587,0.661,0.198,1.2,8.8,5,19,1.9,0.1,14,10.5,1.5,0.8,2.3,0.085,-0.5,-0.7,-1.2,0.3
22,Trevor Ariza,SF,33,TOT,47,1658,11.4,0.519,0.597,0.208,2.1,16,9,14.6,2,0.6,12.4,16.3,0.4,1,1.4,0.041,-0.6,-0.1,-0.7,0.5
23,D.J. Augustin,PG,31,ORL,51,1429,15.2,0.627,0.49,0.367,2.1,6.4,4.2,24.4,0.9,0,14.2,17.1,3.2,0.7,3.9,0.132,1.8,-2.7,-1,0.4
24,Deandre Ayton,C,20,PHO,47,1448,21.5,0.619,0.004,0.22,11.4,27.4,19.3,11.2,1.2,2.6,11.8,21.1,3.3,1.1,4.4,0.146,0.8,0.6,1.3,1.2
25,Dwayne Bacon,SG,23,CHO,24,256,12.5,0.629,0.289,0.145,1.2,15.3,8.2,10,0.6,0.3,12,16.8,0.3,0.1,0.5,0.089,-1.4,-2.3,-3.6,-0.1
26,Marvin Bagley,PF,19,SAC,37,874,17.4,0.569,0.124,0.404,10,19.2,14.5,5.5,1,3.5,12.9,22.8,0.9,0.9,1.8,0.096,-1.7,-0.5,-2.2,0
27,Ron Baker,SG,25,TOT,15,152,2.6,0.309,0.65,0.3,0.7,7.3,3.9,12.7,1.9,0.6,18.1,7.7,-0.2,0.1,-0.1,-0.036,-5.7,-0.7,-6.5,-0.2
28,Wade Baldwin,PG,22,POR,16,94,1.4,0.396,0.273,0.333,2.3,14.3,8.4,16.9,0.5,1.7,27,23.3,-0.4,0.1,-0.3,-0.152,-9.3,-1.3,-10.7,-0.2
29,Lonzo Ball,PG,21,LAL,47,1423,12,0.487,0.5,0.105,4,13.7,9,23.7,2.3,1.1,17.8,16.9,0,1.9,1.9,0.063,-0.8,1.6,0.8,1
30,Mohamed Bamba,C,20,ORL,47,766,15.1,0.539,0.288,0.259,8.8,24.5,16.5,7.7,0.8,7,13.7,18,0.3,1.2,1.5,0.096,-3.3,2.8,-0.4,0.3
31,J.J. Barea,PG,34,DAL,38,752,16.6,0.495,0.332,0.203,1.9,11.4,6.8,47.4,1.4,0.1,14.7,27.8,0.6,0.6,1.2,0.079,1.3,-2,-0.7,0.2
32,Harrison Barnes,PF,26,DAL,47,1522,13.6,0.543,0.434,0.289,2.6,11.2,7,6.2,1,0.5,7.8,23.4,1.3,1.2,2.5,0.08,-0.4,-2,-2.4,-0.2
33,Will Barton,SG,28,DEN,12,296,15.8,0.566,0.413,0.198,4.4,15.5,10,18,0.5,2.1,11.4,21.5,0.5,0.3,0.8,0.123,0.9,-1.1,-0.2,0.1
34,Keita Bates-Diop,SF,23,MIN,5,32,-2.8,0.253,0.455,0.182,0,20.4,10,0,0,2.7,7.8,16.9,-0.1,0,-0.1,-0.188,-12.7,-4.4,-17.1,-0.1
35,Nicolas Batum,SF,30,CHO,51,1577,12.1,0.594,0.489,0.188,3,15.3,9.1,14.8,1.5,1.5,17.4,13.1,1.5,1.4,2.9,0.088,0,1.2,1.2,1.3
36,Jerryd Bayless,PG,30,MIN,14,278,9.9,0.442,0.473,0.109,1.9,10.2,6,26,1.6,0.3,11.5,19.6,-0.1,0.2,0.1,0.016,-1.5,-2.2,-3.7,-0.1
37,Aron Baynes,C,32,BOS,34,507,15.1,0.574,0.324,0.311,12.6,18.4,15.5,10.3,0.6,3.9,14.3,16.6,0.9,0.7,1.7,0.159,-0.3,1.3,1,0.4
38,Kent Bazemore,SG,29,ATL,37,995,14.4,0.543,0.415,0.271,2.2,13.7,7.8,14.3,2.9,2.7,13.8,22.1,0.2,1,1.2,0.059,-0.8,0.6,-0.2,0.5
39,Bradley Beal,SG,25,WAS,51,1889,19.6,0.57,0.371,0.248,3.3,12,7.5,22.7,1.8,1.8,11.2,28.2,2.9,1.2,4.1,0.104,3,-0.9,2.1,1.9
40,Malik Beasley,SG,22,DEN,51,1186,15.2,0.629,0.538,0.087,1.8,10,6,7.8,1.4,0.5,6.2,17.5,2.5,0.9,3.4,0.138,2.3,-1.9,0.4,0.7
41,Michael Beasley,PF,30,LAL,24,257,17.7,0.556,0.106,0.262,5,16.1,10.8,14.3,1.6,3.1,14.2,29.5,0,0.4,0.4,0.072,-2.8,-0.2,-2.9,-0.1
42,Marco Belinelli,SG,32,SAS,51,1141,13.9,0.575,0.577,0.201,0.9,10.4,5.7,12.3,1,0.6,8.3,20.4,1.6,0.7,2.3,0.096,1.7,-2.5,-0.8,0.3
43,Jordan Bell,C,24,GSW,45,500,13.9,0.55,0.009,0.193,7.6,16.8,12.4,13.8,1.4,5.9,16.3,12,0.6,0.7,1.3,0.122,-2,3.3,1.2,0.4
44,DeAndre' Bembry,SG,24,ATL,51,1282,10,0.492,0.302,0.219,2.4,16,9.1,15.2,2.4,1.9,17.1,17,-0.8,1.1,0.4,0.014,-3.5,1.1,-2.4,-0.1
45,Dragan Bender,PF,21,PHO,20,242,10.2,0.514,0.514,0.324,6.9,16.5,11.6,7.8,1,1,14.2,17.6,0,0.1,0,0.008,-2.8,-2.4,-5.2,-0.2
46,Davis Bertans,PF,26,SAS,47,969,14.9,0.689,0.774,0.106,2,16.1,9.1,8.1,1.3,1.9,9.2,13.8,2,0.9,2.9,0.144,3,-0.2,2.9,1.2
47,Patrick Beverley,PG,30,LAC,52,1381,10.7,0.535,0.604,0.299,3.6,14.4,9.2,17.4,1.3,1.5,13.6,12.4,1.5,1.2,2.6,0.091,0.7,0.9,1.6,1.2
48,Khem Birch,C,26,ORL,20,178,16.4,0.572,0.026,0.5,8.9,20.6,14.6,8.7,1.7,4.7,7.9,12.4,0.3,0.3,0.6,0.165,-2.4,2.9,0.5,0.1
49,Bismack Biyombo,C,26,CHO,26,398,15.5,0.595,0,0.524,11.2,24.8,18,5.6,0.8,6.3,13.7,12.6,0.7,0.6,1.2,0.147,-2.4,2.8,0.4,0.2
50,Nemanja Bjelica,PF,30,SAC,50,1194,15.7,0.594,0.434,0.16,6.7,19.2,12.8,11.4,1.5,2.9,12.6,16.7,1.8,1.3,3.1,0.123,0.9,1.3,2.2,1.3
51,Antonio Blakeney,SG,22,CHI,40,578,11.6,0.502,0.246,0.197,1.1,11.1,6.1,6.5,0.8,1.2,7.5,25.4,-0.5,0.3,-0.2,-0.018,-4.5,-3.7,-8.1,-0.9
52,Eric Bledsoe,PG,29,MIL,50,1469,19.2,0.58,0.387,0.223,3.8,11.8,8,27,2.4,1.2,13.5,22.6,3,2.5,5.5,0.179,2.5,1.1,3.6,2.1
53,Jaron Blossomgame,SF,25,CLE,24,405,11,0.542,0.34,0.138,6.6,19,12.6,3.9,0.9,1.7,9.9,12,0.3,0.1,0.4,0.042,-2.5,-1.5,-4,-0.2
54,Bogdan Bogdanovic,SG,26,SAC,39,1096,15.1,0.54,0.429,0.193,1.7,11.8,6.6,21.3,1.7,0.5,11.7,23.5,0.9,0.8,1.7,0.075,1,-1.6,-0.5,0.4
55,Bojan Bogdanovic,SF,29,IND,51,1612,14.6,0.607,0.377,0.285,1.8,12.2,7.1,8,1.2,0,10.2,20.3,2.3,1.8,4.1,0.121,0.8,-1.3,-0.5,0.6
56,Jonah Bolden,PF,23,PHI,26,330,11.5,0.58,0.538,0.225,8,22.4,15.4,6.6,1.1,5.5,20.7,14.1,0,0.5,0.6,0.082,-2.6,2.1,-0.5,0.1
57,Isaac Bonga,PG,19,LAL,7,28,10.4,0.331,0.222,0.778,11.4,7.1,9.1,22,5,0,14.2,20.8,-0.1,0,0,-0.005,-3.9,1.6,-2.4,0
58,Devin Booker,SG,22,PHO,40,1385,19,0.572,0.342,0.324,1.7,10.2,5.9,34,1.3,0.4,15.5,32.1,1.6,0.1,1.7,0.06,3.2,-3.2,0.1,0.7
59,Chris Boucher,PF,26,TOR,15,83,26.9,0.591,0.55,0.325,11.9,19.1,15.6,0,1.2,15.6,4.2,24.6,0.2,0.2,0.5,0.261,0.1,1.1,1.2,0.1
60,Avery Bradley,SG,28,LAC,46,1376,5.9,0.466,0.405,0.057,2.7,6.8,4.8,9.2,0.9,0.8,12.7,14.5,-0.8,0.6,-0.3,-0.01,-2.3,-0.7,-2.9,-0.3
61,Tony Bradley,C,21,UTA,1,9,-10.4,0,0,0,24.5,12.1,18.2,0,0,0,25,19.1,-0.1,0,-0.1,-0.343,-17.4,-5.6,-22.9,0
62,Corey Brewer,SF,32,PHI,6,134,10.9,0.483,0.289,0.289,1.6,10.1,6,9.3,4.2,1.2,10.6,17.8,-0.1,0.2,0.2,0.059,-3.2,1.2,-2,0
63,Mikal Bridges,SF,22,PHO,53,1431,11.1,0.561,0.572,0.156,2.4,10.2,6.3,8.4,2.6,1.7,9.1,12.3,1.1,0.8,1.9,0.062,-0.4,0.6,0.2,0.8
64,Miles Bridges,SF,20,CHO,49,927,12,0.534,0.407,0.198,3.3,17.7,10.4,7.8,1.2,2.8,8.9,15.1,0.6,0.9,1.5,0.077,-1.9,0.5,-1.4,0.1
65,Isaiah Briscoe,PG,22,ORL,27,298,5.3,0.426,0.205,0.192,0.7,11.9,6.2,22.1,0.5,0,15.1,14.6,-0.2,0.2,-0.1,-0.012,-5.8,-2.2,-8,-0.4
66,Ryan Broekhoff,SG,28,DAL,21,143,11.5,0.604,0.744,0.047,1.5,12.5,7.1,10.5,0.3,1.2,10.2,14.5,0.2,0.1,0.3,0.093,-0.5,-1.7,-2.2,0
67,Malcolm Brogdon,SG,26,MIL,46,1358,17.6,0.62,0.31,0.209,3.7,11.9,8.1,16.2,1.2,0.7,11.3,20.3,3.1,1.8,4.9,0.174,1.8,-0.1,1.7,1.3
68,Dillon Brooks,SF,23,MEM,18,330,7.8,0.499,0.328,0.246,3.1,7.9,5.4,7.8,1.5,1.2,12.3,21.3,-0.3,0.3,0,-0.001,-4.2,-1.7,-6,-0.3
69,MarShon Brooks,SG,30,MEM,29,387,11.9,0.518,0.32,0.195,3.5,10.1,6.7,11.3,1.2,1,10.3,24,-0.2,0.3,0.2,0.021,-2.9,-2.5,-5.4,-0.3
70,Bruce Brown,SG,22,DET,43,859,7.4,0.465,0.283,0.193,3.9,12.6,8,9.9,1.2,2.1,12.2,13,-0.2,0.9,0.8,0.044,-3.9,1.6,-2.4,-0.1
71,Jaylen Brown,SG,22,BOS,47,1221,13,0.534,0.349,0.253,3.9,13.9,8.9,7.7,1.7,1.8,10.7,22,0.3,1.8,2,0.08,-1.8,-0.1,-2,0
72,Lorenzo Brown,PG,28,TOR,26,212,6.5,0.38,0.394,0.042,2.6,13,7.9,17.3,2.7,1.9,18.1,17.8,-0.4,0.3,-0.1,-0.029,-5.4,1.4,-4,-0.1
73,Sterling Brown,SG,23,MIL,39,620,11.5,0.587,0.517,0.106,3.7,14.8,9.6,10.6,1.1,0.6,12.5,14.6,0.6,0.9,1.5,0.118,-0.8,0,-0.8,0.2
74,Troy Brown,SF,19,WAS,28,204,10.9,0.471,0.238,0.333,2.1,17.2,9.5,16.8,1.9,0.4,8.8,16.6,0,0.1,0.2,0.043,-3.9,-1.1,-4.9,-0.2
75,Jalen Brunson,PG,22,DAL,43,727,10.8,0.504,0.286,0.192,1.7,8.9,5.4,20,1.3,0.1,11.2,18.2,0.3,0.5,0.9,0.059,-2.1,-1.5,-3.6,-0.3
76,Thomas Bryant,C,21,WAS,41,783,21,0.709,0.153,0.298,7.6,25.7,16.4,8.5,0.9,3.3,9.8,16.1,2.4,0.8,3.2,0.196,1,0.4,1.4,0.7
77,Reggie Bullock,SG,27,DET,41,1260,10.4,0.553,0.66,0.146,1.6,8,4.6,12.3,0.8,0.3,10.1,16.5,1.1,0.9,2,0.076,0.3,-1.2,-0.9,0.3
78,Trey Burke,PG,26,NYK,33,689,15.9,0.496,0.24,0.209,2.2,7.5,4.7,23.2,1.5,0.6,6.9,25.8,0.5,0.1,0.7,0.046,0.1,-3.3,-3.2,-0.2
79,Alec Burks,SG,27,TOT,49,1177,13.2,0.523,0.354,0.307,2.4,17.2,9.5,14.3,1.2,1.4,10.5,20.1,0.7,0.5,1.2,0.05,-1.2,-1,-2.3,-0.1
80,Deonte Burton,SG,25,OKC,15,131,7.9,0.504,0.283,0.13,0.8,11.9,6.3,5.2,1.1,3.2,12.6,17.3,-0.1,0.2,0.1,0.036,-5.9,-0.3,-6.2,-0.1
81,Jimmy Butler,SF-SG,29,TOT,40,1325,21.1,0.578,0.234,0.359,5.7,10.5,8.1,17.6,3,1.5,8.3,23,3.3,1.7,5,0.181,2.9,0.7,3.6,1.9
82,Bruno Caboclo,SF,23,MEM,5,115,9.7,0.455,0.793,0.31,4.9,12.3,8.5,6.2,1.3,6.7,8.3,14.2,0,0.2,0.1,0.059,-3,2.4,-0.7,0
83,Jose Calderon,PG,37,DET,42,598,6.9,0.446,0.487,0.096,1.6,8.7,5,25.5,1.3,0.4,22.6,11,-0.1,0.5,0.5,0.036,-4.2,-1,-5.2,-0.5
84,Kentavious Caldwell-Pope,SG,25,LAL,52,1242,12.5,0.573,0.566,0.244,2.5,9.1,5.9,6.4,1.6,0.3,7.3,16.8,1.6,1.2,2.8,0.106,0.4,-1.1,-0.7,0.4
85,Isaiah Canaan,PG,27,TOT,20,516,7.3,0.515,0.561,0.152,1.1,9.7,5.4,17,1.1,0,17.6,14.3,-0.1,0,-0.1,-0.007,-2.5,-2.5,-5,-0.4
86,Clint Capela,C,24,HOU,42,1436,24.5,0.642,0,0.349,15.7,26,20.7,7.5,0.9,4.5,10.1,19.4,5,1.4,6.4,0.213,1.6,1,2.6,1.7
87,DeMarre Carroll,SF,32,BRK,41,1026,12.1,0.542,0.534,0.424,4.3,16.9,10.6,6.5,0.7,0.4,9.4,19.2,1,0.8,1.7,0.081,-0.8,-1.7,-2.5,-0.1
88,Jevon Carter,PG,23,MEM,19,298,4.1,0.346,0.552,0.103,1.5,6.7,4.1,16.1,2.5,1.6,13.3,16,-0.7,0.3,-0.3,-0.056,-5.9,-0.1,-6,-0.3
89,Vince Carter,SF,42,ATL,47,755,10.9,0.543,0.669,0.105,3,14.9,8.8,8.7,1.6,1.7,10.3,16.6,0.4,0.5,0.8,0.052,-1.1,-1.2,-2.3,-0.1
90,Wendell Carter,C,19,CHI,44,1110,15.4,0.541,0.086,0.302,8.5,21.5,15,11.1,1.1,4.5,13.4,19.2,0.7,1.3,2,0.087,-2.5,2.2,-0.3,0.5
91,Michael Carter-Williams,PG,27,HOU,16,145,12.9,0.476,0.311,0.426,2.2,8,5,23.3,3.1,3.5,12.1,24.7,0,0.1,0.1,0.034,-3,-1,-4,-0.1
92,Alex Caruso,PG,24,LAL,5,20,10.4,0.521,0.25,1,5.3,0,2.6,6.4,0,7.9,0,11.9,0,0,0,0.092,-2.6,1.1,-1.5,0
93,Omri Casspi,SF,30,MEM,36,520,16.1,0.606,0.267,0.36,3.7,22.3,12.7,8.3,1.9,1.7,11,18.3,0.6,0.8,1.3,0.124,-2,0.3,-1.6,0
94,Willie Cauley-Stein,C,25,SAC,51,1446,18,0.549,0.004,0.31,8.8,23.4,15.9,13.4,2,1.8,9.5,19.2,2.3,1.8,4.1,0.136,-0.2,1.9,1.7,1.3
95,Troy Caupain,PG,23,ORL,2,9,33.3,0.625,0.5,0,0,24.7,12,56.2,5.5,0,0,19.5,0.1,0,0.1,0.392,9.6,2,11.5,0
96,Tyler Cavanaugh,PF,24,UTA,6,14,2,0.34,0.6,0.4,7.9,23.3,15.6,0,0,0,14.5,21.1,0,0,0,-0.116,-11.1,-6.8,-17.9,-0.1
97,Tyson Chandler,C,36,TOT,45,780,12.3,0.63,0.01,0.814,12,25.1,18.7,5.5,1.2,2,21,8.9,1.1,1.1,2.2,0.135,-2.3,1.9,-0.3,0.3
98,Wilson Chandler,PF,31,PHI,36,951,9.2,0.561,0.57,0.087,5.1,13.5,9.5,10,1.1,1.5,15.4,11.2,0.6,0.9,1.5,0.077,-0.7,0.7,0,0.5
99,Joe Chealey,PG,23,CHO,1,8,2.1,0.333,0,0,0,0,0,17.5,0,0,0,16.1,0,0,0,-0.07,-8.7,-7.9,-16.6,0
100,Marquese Chriss,PF,21,HOU,15,101,3.9,0.402,0.455,0.212,7.5,23.1,15,8.7,1,3.3,25,20.7,-0.3,0.1,-0.2,-0.108,-8.8,-0.7,-9.5,-0.2
101,Gary Clark,PF,24,HOU,35,524,8.5,0.47,0.908,0.055,3.7,16.9,10.1,3.7,1.4,3.5,4.3,9.7,0.2,0.4,0.6,0.053,-2.7,0.2,-2.4,-0.1
102,Ian Clark,SG,27,NOP,35,457,5.8,0.475,0.503,0.084,1.2,9.4,5.4,11.6,0.7,0.7,14.9,15.8,-0.3,0.1,-0.2,-0.021,-3.5,-2.5,-6,-0.5
103,Jordan Clarkson,SG,26,CLE,51,1346,17.5,0.544,0.365,0.139,3.8,10.5,7,16.1,1.4,0.6,9.9,28.4,1.2,-0.1,1.1,0.04,1.9,-3.7,-1.8,0.1
104,John Collins,PF,21,ATL,35,1042,21.8,0.643,0.189,0.288,12.6,22.6,17.5,12.7,0.5,1.1,12.6,23.4,2.9,0.5,3.4,0.156,3.2,-1.4,1.8,1
105,Zach Collins,C,21,POR,52,969,13.7,0.574,0.301,0.294,8.3,16.1,12.3,7.5,0.9,3.5,14.1,16.4,1.2,1.1,2.3,0.113,-0.6,0.9,0.3,0.6
106,Darren Collison,PG,31,IND,51,1410,15.7,0.562,0.313,0.261,1.8,9.6,5.8,28.6,2.6,0.5,15,16.3,2.3,2,4.3,0.147,0.6,0.2,0.8,1
107,Mike Conley,PG,31,MEM,51,1722,20.4,0.557,0.378,0.317,1.9,9.7,5.7,33.1,2,1,9.5,27,3.4,1.8,5.3,0.147,4,-1.1,2.9,2.1
108,Pat Connaughton,SG,26,MIL,31,546,13.6,0.535,0.595,0.119,5.1,15.4,10.5,14.9,1.1,2.4,8.8,15,0.7,0.9,1.6,0.139,0,1.2,1.2,0.4
109,Quinn Cook,PG,25,GSW,43,644,13.8,0.564,0.447,0.073,2.4,13.2,8,16.3,1.1,0.4,10.2,20.7,0.7,0.4,1.2,0.089,0.3,-2.6,-2.3,0
110,DeMarcus Cousins,C,28,GSW,6,134,20.5,0.561,0.206,0.397,5,27,16.5,25.7,2.5,2.5,14,27.3,0.2,0.2,0.5,0.166,0.5,1.9,2.5,0.2
111,Robert Covington,SF,28,TOT,35,1203,13.4,0.58,0.622,0.246,2.5,14.7,8.6,5.3,2.9,3.2,10.5,15.6,1,1.7,2.7,0.108,0.5,2.2,2.7,1.4
112,Allen Crabbe,SG,26,BRK,28,732,7.4,0.501,0.677,0.153,1.9,12.3,7.1,5.8,1.1,0.9,10.8,17.1,-0.2,0.6,0.4,0.024,-2,-1,-3,-0.2
113,Torrey Craig,SF,28,DEN,46,1051,10.1,0.536,0.5,0.197,7.2,12.7,9.9,5.8,1.3,2.4,12.1,12.8,0.8,1,1.8,0.083,-0.8,0.6,-0.2,0.5
114,Jamal Crawford,SG,38,PHO,43,774,9.5,0.477,0.422,0.252,1,6.5,3.7,27.3,1.2,0.9,17.4,20.3,-0.4,0,-0.5,-0.028,-3.4,-4,-7.4,-1
115,Mitch Creek,SF,26,BRK,2,19,15.1,0.518,0,0.8,5.6,22.7,14.1,7.3,2.5,0,0,15,0,0,0.1,0.165,-2.9,0.1,-2.7,0
116,Jae Crowder,SF,28,UTA,52,1428,12.1,0.539,0.651,0.279,3.1,15.5,9.3,8.9,1.3,1.2,9.2,19.2,0.8,1.9,2.7,0.09,0,0.2,0.2,0.8
117,Dante Cunningham,PF,31,SAS,48,769,10.8,0.591,0.42,0.107,6.2,17.5,12,7.4,1.3,1.4,11.6,8.9,1,0.7,1.7,0.105,-0.3,0.9,0.7,0.5
118,Seth Curry,SG,28,POR,46,820,9.7,0.586,0.547,0.037,2,6.8,4.4,7.5,1.1,0.7,12,14.6,0.7,0.5,1.2,0.068,-0.2,-1.5,-1.7,0.1
119,Stephen Curry,PG,30,GSW,40,1373,26.9,0.671,0.588,0.242,2.4,13.2,8,25.2,1.6,0.9,11.6,30.9,5.5,1.2,6.7,0.235,9.5,-2.1,7.4,3.3
120,Troy Daniels,SG,27,PHO,27,356,10.2,0.572,0.758,0.117,1.9,7.4,4.6,3.8,2.2,0.5,11.2,18.4,0,0.1,0.1,0.018,-0.6,-3.3,-3.9,-0.2
121,Anthony Davis,C,25,NOP,41,1519,30.9,0.595,0.145,0.441,9.8,27.5,18.9,18.9,2.2,5.8,7.5,29.7,6,2.4,8.5,0.268,5.4,3.8,9.2,4.3
122,Ed Davis,C,29,BRK,52,959,17.8,0.631,0.01,0.48,17.1,34,25.5,6.3,1.4,1.6,15.2,12.7,2.2,1.5,3.7,0.187,-0.5,1.5,1,0.7
123,Tyler Davis,C,21,OKC,1,1,0,0,0,0,100,0,51.6,0,0,0,0,40.7,0,0,0,-0.459,-15,-20.4,-35.4,0
124,Dewayne Dedmon,C,29,ATL,41,1015,15.2,0.588,0.396,0.19,6.8,25.7,16,8.3,2,3.4,13.9,16.6,1.1,1.2,2.2,0.106,-1,1.5,0.6,0.7
125,Sam Dekker,SF-PF,24,TOT,32,554,15.6,0.548,0.191,0.164,7.4,15,11.1,8.1,2.7,0.9,7.1,16.4,0.7,0.4,1.1,0.095,-0.9,-0.3,-1.2,0.1
126,Matthew Dellavedova,PG,28,TOT,35,533,12.8,0.596,0.545,0.2,1,9.7,5.3,30.7,0.5,0,21.1,18.6,0.7,0,0.6,0.058,0,-4.7,-4.7,-0.4
127,Luol Deng,SF,33,MIN,12,148,17,0.612,0.413,0.391,6.4,16.9,11.6,4.9,2.3,1.2,8.5,16.7,0.3,0.2,0.5,0.147,0.5,-0.8,-0.3,0.1
128,DeMar DeRozan,SG,29,SAS,49,1734,18.8,0.525,0.047,0.321,2.4,16.9,9.7,27.5,1.4,1.2,11.5,28.6,1.9,1.6,3.5,0.096,-0.1,0.3,0.1,0.9
129,Marcus Derrickson,PF,22,GSW,7,43,5.8,0.506,0.55,0.2,5.2,7.2,6.3,0,0,2,12.1,24.5,0,0,0,-0.037,-5.1,-7.3,-12.3,-0.1
130,Cheick Diallo,PF,22,NOP,34,337,15.1,0.591,0.021,0.316,9,26.5,17.9,4,1.8,4,16.3,15.9,0.3,0.5,0.7,0.102,-3.4,0.8,-2.6,-0.1
131,Hamidou Diallo,SG,20,OKC,42,502,10.3,0.499,0.146,0.367,7.3,11.6,9.5,4.5,1.7,1.7,10.3,16.6,0.1,0.7,0.8,0.079,-4,-0.3,-4.3,-0.3
132,Gorgui Dieng,C,29,MIN,51,695,15.7,0.569,0.174,0.275,7.4,24.4,15.8,9.2,1.8,3.3,11.6,16.6,1,0.9,1.9,0.132,-1.5,1.7,0.2,0.4
133,Spencer Dinwiddie,PG,25,BRK,49,1399,17.7,0.598,0.44,0.418,1.6,7.7,4.6,27.9,1,0.6,13.9,24.8,3.3,0.8,4.1,0.142,3,-2.6,0.4,0.8
134,Donte DiVincenzo,SG,22,MIL,23,358,8.6,0.492,0.645,0.103,4,11.7,8.1,9.7,1.6,1.4,13.9,15.3,-0.1,0.5,0.5,0.062,-2.4,0.5,-1.9,0
135,Luka Doncic,SG,19,DAL,49,1571,19.2,0.556,0.431,0.395,3.7,19.1,11.6,28.3,1.7,0.7,14.9,28.6,2,1.9,3.9,0.12,2.9,0.8,3.7,2.3
