,Unnamed: 0,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,positions,slug,steals,team,turnovers,filename
78,78,31,11,8,0,2,1,3,2,0,3,0,0,37,Anthony Carter,0,4,['POINT GUARD'],cartean01,0,DENVER NUGGETS,6,totals_2007.csv
79,79,30,393,1598,576,437,30,378,82,82,726,462,156,3126,Vince Carter,114,266,['SHOOTING GUARD'],cartevi01,82,NEW JERSEY NETS,217,totals_2007.csv
80,80,37,270,625,182,109,8,140,58,30,261,160,32,1407,Sam Cassell,27,126,['POINT GUARD'],cassesa01,28,LOS ANGELES CLIPPERS,101,totals_2007.csv
81,81,32,0,22,12,0,10,19,18,0,7,8,0,95,Kelvin Cato,12,10,['CENTER'],catoke01,3,NEW YORK KNICKS,6,totals_2007.csv
82,82,24,66,468,201,1,129,584,73,73,292,106,0,2525,Tyson Chandler,320,244,['CENTER'],chandty01,37,NEW ORLEANS/OKLAHOMA CITY HORNETS,126,totals_2007.csv
83,83,23,127,518,210,77,36,217,55,13,261,167,26,2024,Josh Childress,123,118,['SHOOTING GUARD'],childjo01,58,ATLANTA HAWKS,80,totals_2007.csv
84,84,36,8,17,3,6,1,8,7,0,5,2,1,82,Doug Christie,3,11,['SHOOTING GUARD'],chrisdo01,3,LOS ANGELES CLIPPERS,5,totals_2007.csv
85,85,28,185,278,60,28,4,69,42,31,91,33,6,1054,Speedy Claxton,12,131,['POINT GUARD'],claxtsp01,72,ATLANTA HAWKS,75,totals_2007.csv
86,86,28,60,170,83,0,8,100,82,9,75,54,0,913,Jarron Collins,71,147,['CENTER'],collija03,13,UTAH JAZZ,37,totals_2007.csv
87,87,28,46,151,127,2,38,226,80,78,55,59,0,1844,Jason Collins,90,273,['POWER FORWARD'],collija04,40,NEW JERSEY NETS,73,totals_2007.csv
88,88,22,83,228,82,47,3,76,52,9,87,48,13,777,Mardy Collins,28,75,['SMALL FORWARD'],collima01,32,NEW YORK KNICKS,57,totals_2007.csv
89,89,26,82,636,199,2,66,437,82,56,318,154,0,2378,Nick Collison,229,289,['CENTER'],collini01,48,SEATTLE SUPERSONICS,123,totals_2007.csv
90,90,24,1,0,0,0,0,1,3,0,0,0,0,17,Will Conroy,1,1,['SHOOTING GUARD'],conrowi01,0,MEMPHIS GRIZZLIES,0,totals_2007.csv
91,91,24,8,3,4,0,0,3,4,0,0,0,0,35,Will Conroy,2,6,['POINT GUARD'],conrowi01,0,LOS ANGELES CLIPPERS,2,totals_2007.csv
92,92,26,65,408,47,115,27,154,65,24,185,34,46,1018,Brian Cook,61,134,['POWER FORWARD'],cookbr01,25,LOS ANGELES LAKERS,51,totals_2007.csv
93,93,26,259,886,272,322,8,145,59,36,354,228,103,2198,Jamal Crawford,44,114,['SHOOTING GUARD'],crawfja01,57,NEW YORK KNICKS,162,totals_2007.csv
94,94,31,44,222,52,91,6,153,61,2,78,45,26,727,Austin Croshere,33,68,['POWER FORWARD'],croshau01,14,DALLAS MAVERICKS,33,totals_2007.csv
95,95,24,68,1016,659,1,40,376,81,81,585,405,1,2849,Eddy Curry,195,265,['CENTER'],curryed01,34,NEW YORK KNICKS,295,totals_2007.csv
96,96,25,64,658,224,2,159,494,82,82,356,167,0,2535,Samuel Dalembert,239,287,['CENTER'],dalemsa01,47,PHILADELPHIA 76ERS,161,totals_2007.csv
97,97,31,44,334,191,0,82,349,76,73,209,119,0,1915,Erick Dampier,217,239,['CENTER'],dampier01,24,DALLAS MAVERICKS,107,totals_2007.csv
98,98,31,290,389,250,63,9,133,80,8,172,208,19,1761,Antonio Daniels,18,79,['SHOOTING GUARD'],daniean01,39,WASHINGTON WIZARDS,69,totals_2007.csv
99,99,26,57,281,80,26,7,56,45,4,129,56,6,800,Marquis Daniels,26,56,['SHOOTING GUARD'],daniema01,27,INDIANA PACERS,55,totals_2007.csv
100,100,27,509,1030,369,280,29,225,63,62,452,275,85,2221,Baron Davis,51,181,['POINT GUARD'],davisba01,135,GOLDEN STATE WARRIORS,193,totals_2007.csv
101,101,37,12,74,26,0,34,78,46,6,33,17,0,464,Dale Davis,59,59,['CENTER'],davisda01,10,DETROIT PISTONS,15,totals_2007.csv
102,102,22,7,52,10,0,5,23,31,0,22,7,0,180,Paul Davis,21,28,['CENTER'],davispa01,6,LOS ANGELES CLIPPERS,8,totals_2007.csv
103,103,27,385,1089,285,310,23,261,81,81,506,239,123,3021,Ricky Davis,54,189,['SMALL FORWARD'],davisri01,80,MINNESOTA TIMBERWOLVES,210,totals_2007.csv
104,104,24,88,376,89,138,8,199,82,1,156,70,46,1372,Carlos Delfino,67,97,['SHOOTING GUARD'],delfica01,46,DETROIT PISTONS,61,totals_2007.csv
105,105,21,204,1218,359,7,48,431,82,82,630,279,1,3071,Luol Deng,148,167,['SMALL FORWARD'],denglu01,97,CHICAGO BULLS,153,totals_2007.csv
106,106,24,352,569,120,45,38,226,73,59,306,82,15,2268,Boris Diaw,91,177,['POWER FORWARD'],diawbo01,28,PHOENIX SUNS,154,totals_2007.csv
107,107,24,55,292,53,170,7,83,64,19,100,35,49,1177,Yakhouba Diawara,27,132,['SHOOTING GUARD'],diawaya01,30,DENVER NUGGETS,37,totals_2007.csv
108,108,28,70,151,53,61,1,36,50,3,54,42,16,444,Dan Dickau,7,55,['POINT GUARD'],dickada01,14,PORTLAND TRAIL BLAZERS,27,totals_2007.csv
109,109,24,35,80,15,50,0,15,26,0,34,12,18,288,Travis Diener,3,27,['POINT GUARD'],dienetr01,4,ORLANDO MAGIC,13,totals_2007.csv
110,110,23,5,83,44,0,11,42,17,0,44,35,0,222,Ike Diogu,21,35,['POWER FORWARD'],dioguik01,3,GOLDEN STATE WARRIORS,18,totals_2007.csv
111,111,23,20,183,96,0,15,86,42,2,83,77,0,538,Ike Diogu,54,87,['POWER FORWARD'],dioguik01,5,INDIANA PACERS,49,totals_2007.csv
112,112,25,30,151,86,1,113,272,81,9,71,48,0,1480,DeSagana Diop,166,244,['CENTER'],diopde01,40,DALLAS MAVERICKS,63,totals_2007.csv
113,113,28,82,444,72,143,7,69,55,1,189,60,52,1243,Juan Dixon,16,112,['SHOOTING GUARD'],dixonju01,49,PORTLAND TRAIL BLAZERS,77,totals_2007.csv
114,114,28,41,259,44,83,2,62,26,5,110,41,27,683,Juan Dixon,11,65,['SHOOTING GUARD'],dixonju01,27,TORONTO RAPTORS,24,totals_2007.csv
115,115,29,22,175,41,1,15,111,56,0,82,36,0,698,Michael Doleac,44,96,['CENTER'],doleami01,18,MIAMI HEAT,30,totals_2007.csv
116,116,26,112,458,141,96,15,64,66,2,188,114,31,1435,Keyon Dooling,22,125,['SHOOTING GUARD'],doolike01,52,ORLANDO MAGIC,72,totals_2007.csv
117,117,22,15,126,15,50,4,26,42,0,48,11,12,359,Quincy Douby,11,21,['POINT GUARD'],doubyqu01,15,SACRAMENTO KINGS,15,totals_2007.csv
118,118,24,310,483,101,245,6,146,78,30,197,76,88,1906,Chris Duhon,23,150,['POINT GUARD'],duhonch01,69,CHICAGO BULLS,105,totals_2007.csv
119,119,30,273,1131,568,9,190,633,80,80,618,362,1,2726,Tim Duncan,213,203,['CENTER'],duncati01,66,SAN ANTONIO SPURS,224,totals_2007.csv
120,120,26,117,370,101,104,12,147,39,6,166,78,36,1051,Mike Dunleavy,40,83,['POWER FORWARD'],dunlemi02,38,GOLDEN STATE WARRIORS,71,totals_2007.csv
121,121,26,111,480,168,120,10,200,43,43,218,133,34,1529,Mike Dunleavy,44,120,['SHOOTING GUARD'],dunlemi02,46,INDIANA PACERS,78,totals_2007.csv
122,122,26,5,31,9,0,1,12,19,0,11,3,0,94,Ronald Dupree,5,12,['SMALL FORWARD'],duprero01,5,DETROIT PISTONS,3,totals_2007.csv
123,123,21,319,1010,358,143,21,181,77,53,480,273,39,2638,Monta Ellis,62,210,['SHOOTING GUARD'],ellismo01,132,GOLDEN STATE WARRIORS,221,totals_2007.csv
124,124,30,55,282,80,2,59,255,70,41,144,62,0,1332,Francisco Elson,81,184,['CENTER'],elsonfr01,31,SAN ANTONIO SPURS,86,totals_2007.csv
125,125,28,14,60,35,0,6,27,24,0,23,24,0,244,Melvin Ely,12,39,['POWER FORWARD'],elyme01,2,CHARLOTTE BOBCATS,23,totals_2007.csv
126,126,28,4,20,12,0,2,11,6,0,6,7,0,65,Melvin Ely,3,12,['CENTER'],elyme01,4,SAN ANTONIO SPURS,5,totals_2007.csv
127,127,28,74,542,155,133,14,128,76,10,234,122,48,1732,Maurice Evans,93,126,['SHOOTING GUARD'],evansma01,38,LOS ANGELES LAKERS,57,totals_2007.csv
128,128,26,45,215,183,0,16,304,66,11,117,91,0,1127,Reggie Evans,156,144,['POWER FORWARD'],evansre01,42,DENVER NUGGETS,95,totals_2007.csv
129,129,23,90,161,45,44,4,64,61,3,65,35,14,712,Daniel Ewing,9,62,['POINT GUARD'],ewingda01,32,LOS ANGELES CLIPPERS,50,totals_2007.csv
130,130,20,137,294,38,137,7,97,72,2,124,27,45,1090,Jordan Farmar,22,77,['POINT GUARD'],farmajo01,44,LOS ANGELES LAKERS,73,totals_2007.csv
131,131,25,9,15,1,8,0,1,8,0,5,1,2,32,Desmon Farmer,0,2,['SHOOTING GUARD'],farmede01,1,SEATTLE SUPERSONICS,1,totals_2007.csv
