year	Lg	Team	W	L	W/L%	SRS	Pace	Rel Pace	ORtg	Rel ORtg	DRtg	Rel DRtg
1979	NBA	Los Angeles Lakers	60	22	0.732	5.4	104.1	1	109.5	4.2	103.9	-1.4
1978	NBA	Los Angeles Lakers	47	35	0.573	2.95	105.9	0.1	106.1	2.3	103.2	-0.6
1977	NBA	Los Angeles Lakers	45	37	0.549	2.59	106.1	-0.6	103.3	2.4	100.8	-0.1
1976	NBA	Los Angeles Lakers	53	29	0.646	2.64	104.7	-1.8	101.4	1.9	98.9	-0.6
1975	NBA	Los Angeles Lakers	40	42	0.488	0.18	108	2.5	98.9	0.6	98.8	0.5
1974	NBA	Los Angeles Lakers	30	52	0.366	-3.94	106.4	1.9	96.1	-1.6	99.9	2.2
1973	NBA	Los Angeles Lakers	47	35	0.573	0.85	111.7	3.9	97.4	-0.3	96.6	-1.1
2018	NBA	Memphis Grizzlies	30	45	0.4	-2	96.4	-3.6	105.6	-4.6	108.2	-2
2017	NBA	Memphis Grizzlies	22	60	0.268	-5.81	94.9	-2.4	104.5	-4.1	111	2.4
2016	NBA	Memphis Grizzlies	43	39	0.524	0.96	92.3	-4.1	107.7	-1.1	107.1	-1.7
2015	NBA	Memphis Grizzlies	42	40	0.512	-2.14	93.3	-2.5	105.4	-1	107.8	1.4
2014	NBA	Memphis Grizzlies	55	27	0.671	3.62	92	-1.9	105.7	0.1	102.2	-3.4
2013	NBA	Memphis Grizzlies	50	32	0.61	2.18	89.9	-4	106.3	-0.4	104.6	-2.1
2012	NBA	Memphis Grizzlies	56	26	0.683	4.32	88.4	-3.6	104.9	-1	100.3	-5.6
2011	NBA	Memphis Grizzlies	41	25	0.621	2.43	90.8	-0.5	104	-0.6	101.8	-2.8
2010	NBA	Memphis Grizzlies	46	36	0.561	2.55	91.9	-0.2	107.6	0.3	105.1	-2.2
2009	NBA	Memphis Grizzlies	40	42	0.488	-1.39	93.6	0.9	108.3	0.7	109.9	2.3
2008	NBA	Memphis Grizzlies	24	58	0.293	-5.23	90.1	-1.6	103.5	-4.8	109.5	1.2
2007	NBA	Memphis Grizzlies	22	60	0.268	-5.76	95.3	2.9	105	-2.5	111.4	3.9
2006	NBA	Memphis Grizzlies	22	60	0.268	-4.44	93.6	1.7	106.9	0.4	112.3	5.8
2005	NBA	Memphis Grizzlies	49	33	0.598	3.74	86.3	-4.2	105.9	-0.3	101.6	-4.6
2004	NBA	Memphis Grizzlies	45	37	0.549	2.64	88.5	-2.4	105.5	-0.6	102.9	-3.2
2003	NBA	Memphis Grizzlies	50	32	0.61	2.95	91.4	1.3	104.8	1.9	102.2	-0.7
2002	NBA	Memphis Grizzlies	28	54	0.341	-2.6	92.7	1.7	103.9	0.3	107.3	3.7
2001	NBA	Memphis Grizzlies	23	59	0.28	-6.74	91.1	0.4	98.2	-6.3	106.3	1.8
2000	NBA	Memphis Grizzlies	23	59	0.28	-4.94	91.7	0.4	99.6	-3.4	105.8	2.8
1999	NBA	Memphis Grizzlies	22	60	0.268	-5.1	91	-2.1	102.3	-1.8	108.5	4.4
1998	NBA	Memphis Grizzlies	8	42	0.16	-8.94	89	0.1	98.4	-3.8	107.9	5.7
1997	NBA	Memphis Grizzlies	19	63	0.232	-7.47	92.1	1.8	104.1	-0.9	112	7
1996	NBA	Memphis Grizzlies	14	68	0.171	-10.17	88.4	-1.7	100.3	-6.4	111.8	5.1
1995	NBA	Memphis Grizzlies	15	67	0.183	-9.55	91	-0.8	97.6	-10	108.5	0.9
2018	NBA	Miami Heat	36	38	0.486	-0.43	98	-2	107.7	-2.5	107.9	-2.3
2017	NBA	Miami Heat	44	38	0.537	0.15	95.6	-1.7	106.8	-1.8	106.3	-2.3
2016	NBA	Miami Heat	41	41	0.5	0.77	95.2	-1.2	107.8	-1	106.7	-2.1
2015	NBA	Miami Heat	48	34	0.585	1.5	93.6	-2.2	106.1	-0.3	104.4	-2
2014	NBA	Miami Heat	37	45	0.451	-2.92	90.9	-3	103.9	-1.7	106.7	1.1
2013	NBA	Miami Heat	54	28	0.659	4.15	91.2	-2.7	110.9	4.2	105.8	-0.9
2012	NBA	Miami Heat	66	16	0.805	7.03	90.7	-1.3	112.3	6.4	103.7	-2.2
2011	NBA	Miami Heat	46	20	0.697	5.72	91.2	-0.1	106.6	2	100.2	-4.4
2010	NBA	Miami Heat	58	24	0.707	6.76	90.9	-1.2	111.7	4.4	103.5	-3.8
2009	NBA	Miami Heat	47	35	0.573	1.99	89.6	-3.1	106.6	-1	104.1	-3.5
2008	NBA	Miami Heat	43	39	0.524	0.49	89.9	-1.8	107.8	-0.5	107.6	-0.7
2007	NBA	Miami Heat	15	67	0.183	-8.53	90.2	-2.2	100.5	-7	110	2.5
2006	NBA	Miami Heat	44	38	0.537	-1.21	89.9	-2	104.3	-2.2	105.3	-1.2
2005	NBA	Miami Heat	52	30	0.634	3.59	91.6	1.1	108.7	2.5	104.5	-1.7
2004	NBA	Miami Heat	59	23	0.72	5.77	90.8	-0.1	110.2	4.1	103.1	-3
2003	NBA	Miami Heat	42	40	0.512	-0.13	88	-2.1	102.2	-0.7	101.7	-1.2
2002	NBA	Miami Heat	25	57	0.305	-5.13	87.8	-3.2	96.7	-6.9	102.4	-1.2
2001	NBA	Miami Heat	36	46	0.439	-1.84	87.4	-3.3	98.5	-6	100.2	-4.3
2000	NBA	Miami Heat	50	32	0.61	1.73	87.1	-4.2	101.1	-1.9	98.5	-4.5
1999	NBA	Miami Heat	52	30	0.634	2.75	89.7	-3.4	104.5	0.4	101	-3.1
1998	NBA	Miami Heat	33	17	0.66	5.11	84.8	-4.1	104.7	2.5	98.9	-3.3
1997	NBA	Miami Heat	55	27	0.671	5.09	87.9	-2.4	107.6	2.6	102	-3
1996	NBA	Miami Heat	61	21	0.744	5.56	88.2	-1.9	106.8	0.1	100.6	-6.1
1995	NBA	Miami Heat	42	40	0.512	1.46	91.1	-0.7	105.3	-2.3	103.8	-3.8
1994	NBA	Miami Heat	32	50	0.39	-1.85	92.9	0	108.2	-0.1	109.9	1.6
1993	NBA	Miami Heat	42	40	0.512	2.4	93.8	-1.3	109.5	3.2	106.7	0.4
1992	NBA	Miami Heat	36	46	0.439	-0.93	94.6	-2.2	107.7	-0.3	108.9	0.9
1991	NBA	Miami Heat	38	44	0.463	-3.94	97.7	1.1	106.7	-1.5	110.9	2.7
1990	NBA	Miami Heat	24	58	0.293	-5.91	99.3	1.5	102	-5.9	108.1	0.2
1989	NBA	Miami Heat	18	64	0.22	-9.59	101	2.7	99.3	-8.8	108.9	0.8
1988	NBA	Miami Heat	15	67	0.183	-11.13	99.1	-1.5	97.8	-10	109	1.2
2018	NBA	Milwaukee Bucks	56	19	0.747	8.68	102.9	2.9	113.7	3.5	104.5	-5.7
2017	NBA	Milwaukee Bucks	44	38	0.537	-0.45	96.2	-1.1	109.8	1.2	110.1	1.5
2016	NBA	Milwaukee Bucks	42	40	0.512	-0.45	94.5	-1.9	109.1	0.3	109.3	0.5
2015	NBA	Milwaukee Bucks	33	49	0.402	-3.98	94.2	-1.6	104.3	-2.1	108.7	2.3
2014	NBA	Milwaukee Bucks	41	41	0.5	-0.09	94.1	0.2	102.7	-2.9	102.2	-3.4
2013	NBA	Milwaukee Bucks	15	67	0.183	-8.41	91.8	-2.1	103	-3.7	111.8	5.1
2012	NBA	Milwaukee Bucks	38	44	0.463	-1.83	94.7	2.7	103.6	-2.3	105.2	-0.7
2011	NBA	Milwaukee Bucks	31	35	0.47	-0.23	93.7	2.4	105.5	0.9	105.2	0.6
2010	NBA	Milwaukee Bucks	35	47	0.427	-1.02	89.8	-2.3	101.6	-5.7	102.5	-4.8
2009	NBA	Milwaukee Bucks	46	36	0.561	1.37	91.7	-1	104.9	-2.7	103.1	-4.5
2008	NBA	Milwaukee Bucks	34	48	0.415	-0.88	92.6	0.9	106.7	-1.6	107.9	-0.4
2007	NBA	Milwaukee Bucks	26	56	0.317	-6.92	91.3	-1.1	105.3	-2.2	112.8	5.3
2006	NBA	Milwaukee Bucks	28	54	0.341	-4.43	92.3	0.4	107	0.5	111.7	5.2
2005	NBA	Milwaukee Bucks	40	42	0.488	-1.07	91.2	0.7	106.3	0.1	107.4	1.2
2004	NBA	Milwaukee Bucks	30	52	0.366	-3.09	90.8	-0.1	106.6	0.5	109.8	3.7
2003	NBA	Milwaukee Bucks	41	41	0.5	0.42	91.6	1.5	106.5	3.6	105.4	2.5
2002	NBA	Milwaukee Bucks	42	40	0.512	-0.24	90.4	-0.6	108.8	5.2	108.6	5
2001	NBA	Milwaukee Bucks	41	41	0.5	-0.62	90.2	-0.5	106.9	2.4	107.1	2.6
2000	NBA	Milwaukee Bucks	52	30	0.634	3.14	92.1	0.8	108.8	5.8	104.6	1.6
1999	NBA	Milwaukee Bucks	42	40	0.512	-0.06	92.7	-0.4	108.2	4.1	107.9	3.8
1998	NBA	Milwaukee Bucks	28	22	0.56	1.66	87	-1.9	104.9	2.7	103	0.8
1997	NBA	Milwaukee Bucks	36	46	0.439	-1.33	90.2	-0.1	103.5	-1.5	105.6	0.6
1996	NBA	Milwaukee Bucks	33	49	0.402	-1.38	89.5	-0.6	106.2	-0.5	108.3	1.6
1995	NBA	Milwaukee Bucks	25	57	0.305	-4.92	90.2	-1.6	105.6	-2	111.5	3.9
1994	NBA	Milwaukee Bucks	34	48	0.415	-4.3	92.7	-0.2	106.2	-2.1	110.9	2.6
1993	NBA	Milwaukee Bucks	20	62	0.244	-6.24	94.5	-0.6	102.5	-3.8	109.3	3
1992	NBA	Milwaukee Bucks	28	54	0.341	-3.26	96.1	-0.7	106.2	-1.8	110.1	2.1
1991	NBA	Milwaukee Bucks	31	51	0.378	-1.46	95.5	-1.1	108.8	0.6	110.6	2.4
1990	NBA	Milwaukee Bucks	48	34	0.585	2.33	96.1	-1.7	109.7	1.8	107.2	-0.7
1989	NBA	Milwaukee Bucks	44	38	0.537	-1.06	98	-0.3	107.3	-0.8	108.1	0
1988	NBA	Milwaukee Bucks	49	33	0.598	4.11	98.6	-2	110.1	2.3	106.4	-1.4
1987	NBA	Milwaukee Bucks	42	40	0.512	1.21	97.6	-2	108.2	0.2	107.6	-0.4
1986	NBA	Milwaukee Bucks	50	32	0.61	4.04	100.3	-0.5	109.5	1.2	105.6	-2.7
1985	NBA	Milwaukee Bucks	57	25	0.695	8.69	102.1	0	111.4	4.2	102.7	-4.5
1984	NBA	Milwaukee Bucks	59	23	0.72	6.69	99.7	-2.4	110.5	2.6	103.6	-4.3
1983	NBA	Milwaukee Bucks	50	32	0.61	4.04	96.9	-4.5	107.8	0.2	103.6	-4
1982	NBA	Milwaukee Bucks	51	31	0.622	4.32	100	-3.1	105.8	1.1	101.4	-3.3
1981	NBA	Milwaukee Bucks	55	27	0.671	5.38	100	-0.9	107.7	0.8	102.3	-4.6
1980	NBA	Milwaukee Bucks	60	22	0.732	7.14	103.6	1.8	108.7	3.2	101.8	-3.7
1979	NBA	Milwaukee Bucks	49	33	0.598	3.57	102.4	-0.7	106.8	1.5	102.9	-2.4
1978	NBA	Milwaukee Bucks	38	44	0.463	2.12	106.5	0.7	106	2.2	104	0.2
1977	NBA	Milwaukee Bucks	44	38	0.537	-0.59	108.7	2	101.8	0.9	102.4	1.5
1976	NBA	Milwaukee Bucks	30	52	0.366	-2.99	108.3	1.8	100	0.5	102.9	3.4
1975	NBA	Milwaukee Bucks	38	44	0.463	-1.55	103.9	-1.6	97.3	-1	98.7	0.4
1974	NBA	Milwaukee Bucks	38	44	0.463	0.25	102.1	-2.4	98	0.3	97.8	0.1
1973	NBA	Milwaukee Bucks	59	23	0.72	7.61	105.4	-2.4	101.2	3.5	93.6	-4.1
2018	NBA	Minnesota Timberwolves	33	41	0.446	-0.88	100.1	0.1	111.5	1.3	112.6	2.4
2017	NBA	Minnesota Timberwolves	47	35	0.573	2.35	96	-1.3	113.4	4.8	111.1	2.5
2016	NBA	Minnesota Timberwolves	31	51	0.378	-0.64	94.6	-1.8	110.8	2	112	3.2
2015	NBA	Minnesota Timberwolves	29	53	0.354	-3.38	95.2	-0.6	106.5	0.1	110.1	3.7
2014	NBA	Minnesota Timberwolves	16	66	0.195	-8	94.4	0.5	102.9	-2.7	112.2	6.6
2013	NBA	Minnesota Timberwolves	40	42	0.488	3.1	97.3	3.4	108.9	2.2	106.2	-0.5
2012	NBA	Minnesota Timberwolves	31	51	0.378	-1.83	92.8	0.8	102.9	-3	105.4	-0.5
2011	NBA	Minnesota Timberwolves	26	40	0.394	-1.83	93.3	2	104.3	-0.3	106.6	2
2010	NBA	Minnesota Timberwolves	17	65	0.207	-5.97	96.5	4.4	104.2	-3.1	111.1	3.8
2009	NBA	Minnesota Timberwolves	15	67	0.183	-9.06	96.1	3.4	101.7	-5.9	111.6	4
2008	NBA	Minnesota Timberwolves	24	58	0.293	-4.74	91.6	-0.1	106.1	-2.2	111.4	3.1
2007	NBA	Minnesota Timberwolves	22	60	0.268	-6.26	91.9	-0.5	103.8	-3.7	111.2	3.7
2006	NBA	Minnesota Timberwolves	32	50	0.39	-3.16	91	-0.9	103.9	-2.6	107.9	1.4
2005	NBA	Minnesota Timberwolves	33	49	0.402	-1.75	88.8	-1.7	102.4	-3.8	104.5	-1.7
2004	NBA	Minnesota Timberwolves	44	38	0.537	1.73	89.1	-1.8	108.2	2.1	106.6	0.5
2003	NBA	Minnesota Timberwolves	58	24	0.707	5.86	89	-1.1	105.9	3	99.7	-3.2
2002	NBA	Minnesota Timberwolves	51	31	0.622	2.46	91.9	0.9	106.1	2.5	103.8	0.2
2001	NBA	Minnesota Timberwolves	50	32	0.61	3.58	90.5	-0.2	109	4.5	105.3	0.8
2000	NBA	Minnesota Timberwolves	47	35	0.573	1.81	91.8	0.5	105.2	2.2	103.7	0.7
1999	NBA	Minnesota Timberwolves	50	32	0.61	2.67	91.8	-1.3	106.1	2	103.4	-0.7
1998	NBA	Minnesota Timberwolves	25	25	0.5	-0.17	91	2.1	101.9	-0.3	101.5	-0.7
1997	NBA	Minnesota Timberwolves	45	37	0.549	0.17	92.6	2.3	107.8	2.8	107.1	2.1
1996	NBA	Minnesota Timberwolves	40	42	0.488	-1.82	90.7	0.6	105.5	-1.2	107.1	0.4
1995	NBA	Minnesota Timberwolves	26	56	0.317	-5.14	93.5	1.7	104.1	-3.5	109.8	2.2
1994	NBA	Minnesota Timberwolves	21	61	0.256	-8.22	91.4	-1.5	102.6	-5.7	112.4	4.1
1993	NBA	Minnesota Timberwolves	20	62	0.244	-6.55	94.7	-0.4	101.9	-4.4	109.2	2.9
1992	NBA	Minnesota Timberwolves	19	63	0.232	-7.62	93.8	-3	103.6	-4.4	111.8	3.8
1991	NBA	Minnesota Timberwolves	15	67	0.183	-6.85	95.1	-1.5	105	-3.2	112.4	4.2
1990	NBA	Minnesota Timberwolves	29	53	0.354	-3.75	92.3	-5.5	106.7	-1.2	110.9	3
1989	NBA	Minnesota Timberwolves	22	60	0.268	-3.6	91.1	-7.2	103.6	-4.5	108.2	0.1
2018	NBA	New Orleans Pelicans	31	45	0.408	-0.58	103.3	3.3	111.5	1.3	112.3	2.1
2017	NBA	New Orleans Pelicans	48	34	0.585	1.48	100.5	3.2	109.6	1	108.3	-0.3
2016	NBA	New Orleans Pelicans	34	48	0.415	-1.69	98	1.6	105.2	-3.6	107.4	-1.4
2015	NBA	New Orleans Pelicans	30	52	0.366	-3.56	96.8	1	105.6	-0.8	109.5	3.1
2014	NBA	New Orleans Pelicans	45	37	0.549	1.13	91.4	-2.5	108.2	2.6	107.3	1.7
2013	NBA	New Orleans Pelicans	34	48	0.415	-1.98	92.2	-1.7	107.2	0.5	110.1	3.4
2012	NBA	New Orleans Pelicans	27	55	0.329	-3.12	88.5	-3.5	105.7	-0.2	110.1	4.2
2011	NBA	New Orleans Pelicans	21	45	0.318	-3.11	88.3	-3	100.9	-3.7	105.1	0.5
2010	NBA	New Orleans Pelicans	46	36	0.561	1.28	88.7	-3.4	106.2	-1.1	105.2	-2.1
2009	NBA	New Orleans Pelicans	37	45	0.451	-2.27	92.6	-0.1	107.4	-0.2	110.1	2.5
2008	NBA	New Orleans Pelicans	49	33	0.598	1.41	87.8	-3.9	108.7	0.4	107	-1.3
2007	NBA	New Orleans Pelicans	56	26	0.683	5.46	89.9	-2.5	111.5	4	105.7	-1.8
2006	NBA	New Orleans Pelicans	39	43	0.476	-1.19	90.2	-1.7	104.8	-1.7	106.5	0
2005	NBA	New Orleans Pelicans	38	44	0.463	-2.51	89	-1.5	103.7	-2.5	106.8	0.6
2004	NBA	New Orleans Pelicans	18	64	0.22	-6.3	87.6	-3.3	99.7	-6.4	107.7	1.6
2003	NBA	New Orleans Pelicans	41	41	0.5	-0.72	89.1	-1	102.3	-0.6	102.4	-0.5
2002	NBA	New Orleans Pelicans	47	35	0.573	1.52	89.4	-1.6	103.9	0.3	101.6	-2
2018	NBA	New York Knicks	14	60	0.189	-8.68	99.8	-0.2	104.8	-5.4	114	3.8
2017	NBA	New York Knicks	29	53	0.354	-3.53	96.8	-0.5	107.1	-1.5	110.7	2.1
2016	NBA	New York Knicks	31	51	0.378	-3.87	96	-0.4	107.7	-1.1	111.5	2.7
2015	NBA	New York Knicks	32	50	0.39	-2.74	93.4	-2.4	104.6	-1.8	107.6	1.2
2014	NBA	New York Knicks	17	65	0.207	-9.5	91.2	-2.7	99.9	-5.7	110	4.4
2013	NBA	New York Knicks	37	45	0.451	-1.4	90.3	-3.6	108.3	1.6	109.1	2.4
2012	NBA	New York Knicks	54	28	0.659	3.73	89.8	-2.2	111.1	5.2	106.3	0.4
2011	NBA	New York Knicks	36	30	0.545	2.39	93.2	1.9	104.4	-0.2	101	-3.6
2010	NBA	New York Knicks	42	40	0.512	0.48	95.6	3.5	110.9	3.6	110.1	2.8
2009	NBA	New York Knicks	29	53	0.354	-4.01	94	1.3	107.6	0	111.6	4
2008	NBA	New York Knicks	32	50	0.39	-2.33	96.7	5	108.1	-0.2	110.8	2.5
2007	NBA	New York Knicks	23	59	0.28	-6.55	91.6	-0.8	104.7	-2.8	111.9	4.4
2006	NBA	New York Knicks	33	49	0.402	-3.06	90.8	-1.1	105.7	-0.8	108.8	2.3
2005	NBA	New York Knicks	23	59	0.28	-6.3	90.8	0.3	104	-2.2	111	4.8
2004	NBA	New York Knicks	33	49	0.402	-2.72	90.7	-0.2	106.2	0.1	108.9	2.8
2003	NBA	New York Knicks	39	43	0.476	-1.97	89.5	-0.6	101.7	-1.2	103.3	0.4
2002	NBA	New York Knicks	37	45	0.451	-1.61	90.7	-0.3	104.7	1.1	106.2	2.6
2001	NBA	New York Knicks	30	52	0.366	-4.15	89.7	-1	101.5	-3	105.9	1.4
2000	NBA	New York Knicks	48	34	0.585	1.98	86.7	-4.6	101.2	-1.8	98.2	-4.8
1999	NBA	New York Knicks	50	32	0.61	1.3	89.2	-3.9	102.5	-1.6	100.9	-3.2
1998	NBA	New York Knicks	27	23	0.54	1.45	86.9	-2	98.6	-3.6	97.5	-4.7
1997	NBA	New York Knicks	43	39	0.524	2.74	88.2	-2.1	103	-2	100.3	-4.7
1996	NBA	New York Knicks	57	25	0.695	3.31	90.5	0.4	104.4	-2.3	101	-5.7
1995	NBA	New York Knicks	47	35	0.573	2.24	91	-0.8	106	-1.6	103.5	-4.1
1994	NBA	New York Knicks	55	27	0.671	2.78	91.2	-1.7	107.2	-1.1	103.8	-4.5
1993	NBA	New York Knicks	57	25	0.695	6.48	92.8	-2.3	105.7	-0.6	98.2	-8.1
1992	NBA	New York Knicks	60	22	0.732	5.87	94.5	-2.3	106.1	-1.9	99.7	-8.3
1991	NBA	New York Knicks	51	31	0.622	3.67	92.9	-3.7	108.3	0.1	104.2	-4
1990	NBA	New York Knicks	39	43	0.476	-0.43	95	-2.8	107.1	-0.8	107.3	-0.6
1989	NBA	New York Knicks	45	37	0.549	0.78	98.2	-0.1	109.4	1.3	108	-0.1
1988	NBA	New York Knicks	52	30	0.634	3.62	104.4	3.8	111.1	3.3	107.5	-0.3
1987	NBA	New York Knicks	38	44	0.463	0.14	99.1	-0.5	105.9	-2.1	106.4	-1.6
1986	NBA	New York Knicks	24	58	0.293	-5.42	98.5	-2.3	104.8	-3.5	111.1	2.8
1985	NBA	New York Knicks	23	59	0.28	-4.82	98.6	-3.5	99.5	-7.7	105.2	-2
1984	NBA	New York Knicks	24	58	0.293	-4.09	99.5	-2.6	104.9	-3	109.6	1.7
1983	NBA	New York Knicks	47	35	0.573	3.79	99	-2.4	107	-0.6	103.1	-4.5
1982	NBA	New York Knicks	44	38	0.537	2.58	97	-6.1	102.4	-2.3	99.9	-4.8
1981	NBA	New York Knicks	33	49	0.402	-2.15	99.5	-1.4	106	-0.9	108.6	1.7
1980	NBA	New York Knicks	50	32	0.61	2	101	-0.8	106	0.5	104.4	-1.1
1979	NBA	New York Knicks	39	43	0.476	-0.96	106.5	3.4	106.5	1.2	107.5	2.2
1978	NBA	New York Knicks	31	51	0.378	-3.29	104.9	-0.9	102.2	-1.6	105.4	1.6
1977	NBA	New York Knicks	43	39	0.524	-0.53	109.7	3	101.7	0.8	102.2	1.3
1976	NBA	New York Knicks	40	42	0.488	0.01	108.1	1.6	100.1	0.6	100.1	0.6
1975	NBA	New York Knicks	38	44	0.463	-1.05	104.1	-1.4	98	-0.3	99.2	0.9
1974	NBA	New York Knicks	40	42	0.488	-0.92	103.1	-1.4	97.1	-0.6	98.3	0.6
1973	NBA	New York Knicks	49	33	0.598	2.42	103.5	-4.3	97.4	-0.3	94.7	-3
2018	NBA	Oklahoma City Thunder	44	31	0.587	3.27	103	3	109.8	-0.4	106.6	-3.6
2017	NBA	Oklahoma City Thunder	48	34	0.585	3.42	96.7	-0.6	110.7	2.1	107.2	-1.4
2016	NBA	Oklahoma City Thunder	47	35	0.573	1.14	97.8	1.4	108.3	-0.5	107.5	-1.3
2015	NBA	Oklahoma City Thunder	55	27	0.671	7.09	96.7	0.9	113.1	6.7	105.6	-0.8
2014	NBA	Oklahoma City Thunder	45	37	0.549	2.47	95.7	1.8	107.8	2.2	105.5	-0.1
2013	NBA	Oklahoma City Thunder	59	23	0.72	6.66	95.4	1.5	110.5	3.8	103.9	-2.8
2012	NBA	Oklahoma City Thunder	60	22	0.732	9.15	93.3	1.3	112.4	6.5	102.6	-3.3
2011	NBA	Oklahoma City Thunder	47	19	0.712	6.44	93	1.7	109.8	5.2	103.2	-1.4
2010	NBA	Oklahoma City Thunder	55	27	0.671	3.81	92.7	0.6	111.2	3.9	107.2	-0.1
2009	NBA	Oklahoma City Thunder	50	32	0.61	3.55	93.1	0.4	108.3	0.7	104.6	-3
2008	NBA	Oklahoma City Thunder	23	59	0.28	-6.04	93.6	1.9	102.9	-5.4	109.4	1.1
2007	NBA	Oklahoma City Thunder	20	62	0.244	-8.04	96.3	3.9	100.5	-7	109.5	2
2006	NBA	Oklahoma City Thunder	31	51	0.378	-2.45	91.8	-0.1	107.2	0.7	110.3	3.8
2005	NBA	Oklahoma City Thunder	35	47	0.427	-2.88	91.6	1.1	111.1	4.9	114.4	8.2
2004	NBA	Oklahoma City Thunder	52	30	0.634	2.59	87.9	-3	112.2	6.1	109.6	3.5
2003	NBA	Oklahoma City Thunder	37	45	0.451	0.02	89.9	-0.2	107.3	4.4	108	5.1
2002	NBA	Oklahoma City Thunder	40	42	0.488	0.37	88	-3	103.7	0.1	103.9	0.3
2001	NBA	Oklahoma City Thunder	45	37	0.549	3.24	89	-1.7	108.9	4.4	105.6	1.1
2000	NBA	Oklahoma City Thunder	44	38	0.537	0.55	91.6	0.3	105.6	2.6	105.6	2.6
1999	NBA	Oklahoma City Thunder	45	37	0.549	1.17	93.4	0.3	105.6	1.5	104.6	0.5
1998	NBA	Oklahoma City Thunder	25	25	0.5	-1.43	89.6	0.7	105	2.8	106.2	4
1997	NBA	Oklahoma City Thunder	61	21	0.744	6.33	89.8	-0.5	111.6	6.6	103.6	-1.4
1996	NBA	Oklahoma City Thunder	57	25	0.695	6.91	90.3	0.2	111.2	4.5	102.7	-4
1995	NBA	Oklahoma City Thunder	64	18	0.78	7.4	93.8	2	110.3	2.7	102.1	-5.5
1994	NBA	Oklahoma City Thunder	57	25	0.695	7.91	95.5	2.6	114.8	6.5	106.3	-2
1993	NBA	Oklahoma City Thunder	63	19	0.768	8.68	95.1	0	111.1	4.8	101.5	-4.8
1992	NBA	Oklahoma City Thunder	55	27	0.671	6.66	96	-0.8	112.3	4.3	104.9	-3.1
1991	NBA	Oklahoma City Thunder	47	35	0.573	1.86	95.4	-1.2	110.7	2.5	108.8	0.6
1990	NBA	Oklahoma City Thunder	41	41	0.5	1.31	96.2	-1.6	109.7	1.8	108.5	0.6
1989	NBA	Oklahoma City Thunder	41	41	0.5	1.4	95.3	-3	110.9	2.8	109.8	1.7
1988	NBA	Oklahoma City Thunder	47	35	0.573	2.44	100.1	-0.5	111.5	3.7	108.6	0.8
1987	NBA	Oklahoma City Thunder	44	38	0.537	1.29	100.2	0.6	110.2	2.2	108.1	0.1
1986	NBA	Oklahoma City Thunder	39	43	0.476	0.08	101.8	1	110.7	2.4	110.3	2
1985	NBA	Oklahoma City Thunder	31	51	0.378	-0.47	97.4	-4.7	105.9	-1.3	106	-1.2
1984	NBA	Oklahoma City Thunder	31	51	0.378	-5.44	99.3	-2.8	102.8	-5.1	108.2	0.3
1983	NBA	Oklahoma City Thunder	42	40	0.512	-0.34	99.7	-1.7	107.9	0.3	108.1	0.5
1982	NBA	Oklahoma City Thunder	48	34	0.585	2.88	103.2	0.1	105.9	1.2	102.8	-1.9
1981	NBA	Oklahoma City Thunder	52	30	0.634	3.69	100	-0.9	106.4	-0.5	102.3	-4.6
1980	NBA	Oklahoma City Thunder	34	48	0.415	-1.84	100.3	-1.5	103.2	-2.3	104.8	-0.7
1979	NBA	Oklahoma City Thunder	56	26	0.683	4.24	101.8	-1.3	105.8	0.5	101.2	-4.1
1978	NBA	Oklahoma City Thunder	52	30	0.634	2.69	103.4	-2.4	102.7	-1.1	100.1	-3.7
1977	NBA	Oklahoma City Thunder	47	35	0.573	1.48	104.8	-1.9	99.2	-1.7	97.7	-3.2
1976	NBA	Oklahoma City Thunder	40	42	0.488	-1.43	106.8	0.3	96.7	-2.8	98.2	-1.3
1975	NBA	Oklahoma City Thunder	43	39	0.524	-0.15	107.7	2.2	98.3	0	98.6	0.3
1974	NBA	Oklahoma City Thunder	43	39	0.524	-1.19	105.5	1	96.7	-1	97.7	0
1973	NBA	Oklahoma City Thunder	36	46	0.439	-2.29	110.2	2.4	96.8	-0.9	99.1	1.4
2018	NBA	Orlando Magic	37	38	0.493	-0.13	98	-2	107.8	-2.4	107.6	-2.6
2017	NBA	Orlando Magic	25	57	0.305	-4.92	98.1	0.8	105.2	-3.4	110.1	1.5
2016	NBA	Orlando Magic	29	53	0.354	-6.61	96.8	0.4	103.7	-5.1	110.5	1.7
2015	NBA	Orlando Magic	35	47	0.427	-1.68	96	0.2	105.1	-1.3	106.8	0.4
2014	NBA	Orlando Magic	25	57	0.305	-5.87	93.8	-0.1	101.6	-4	107.7	2.1
2013	NBA	Orlando Magic	23	59	0.28	-5.88	93.6	-0.3	101.7	-5	107.4	0.7
2012	NBA	Orlando Magic	20	62	0.244	-7.12	92.2	0.2	101.6	-4.3	109.1	3.2
2011	NBA	Orlando Magic	37	29	0.561	0.46	89	-2.3	105	0.4	104.1	-0.5
2010	NBA	Orlando Magic	52	30	0.634	4.92	91.2	-0.9	107.9	0.6	102	-5.3
2009	NBA	Orlando Magic	59	23	0.72	7.12	92	-0.7	111.4	3.8	103.3	-4.3
2008	NBA	Orlando Magic	59	23	0.72	6.48	92.3	0.6	109.2	0.9	101.9	-6.4
